commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
Nickel,indicated,tonnage,209000.0,%,1.64,,,,Puimajuq
Copper,indicated,tonnage,209000.0,%,2.73,,,,Puimajuq
Cobalt,indicated,tonnage,209000.0,%,0.06,,,,Puimajuq
Platinum,indicated,tonnage,209000.0,g/t,0.92,,,,Puimajuq
Palladium,indicated,tonnage,209000.0,g/t,2.48,,,,Puimajuq
Gold,indicated,tonnage,209000.0,g/t,0.09,,,,Puimajuq
Nickel,inferred,tonnage,12000.0,%,2.31,,,,Puimajuq
Copper,inferred,tonnage,12000.0,%,3.23,,,,Puimajuq
Cobalt,inferred,tonnage,12000.0,%,0.09,,,,Puimajuq
Platinum,inferred,tonnage,12000.0,g/t,1.18,,,,Puimajuq
Palladium,inferred,tonnage,12000.0,g/t,2.63,,,,Puimajuq
Gold,inferred,tonnage,12000.0,g/t,0.14,,,,Puimajuq
Nickel,measured,tonnage,560000.0,%,0.93,,,,Allammaq
Copper,measured,tonnage,560000.0,%,1.10,,,,Allammaq
Cobalt,measured,tonnage,560000.0,%,0.04,,,,Allammaq
Platinum,measured,tonnage,560000.0,g/t,0.60,,,,Allammaq
Palladium,measured,tonnage,560000.0,g/t,2.66,,,,Allammaq
Gold,measured,tonnage,560000.0,g/t,0.10,,,,Allammaq
Nickel,indicated,tonnage,3761000.0,%,0.90,,,,Allammaq
Copper,indicated,tonnage,3761000.0,%,1.12,,,,Allammaq
Cobalt,indicated,tonnage,3761000.0,%,0.04,,,,Allammaq
Platinum,indicated,tonnage,3761000.0,g/t,0.58,,,,Allammaq
Palladium,indicated,tonnage,3761000.0,g/t,2.15,,,,Allammaq
Gold,indicated,tonnage,3761000.0,g/t,0.12,,,,Allammaq
Nickel,inferred,tonnage,1591000.0,%,0.47,,,,Allammaq
Copper,inferred,tonnage,1591000.0,%,0.53,,,,Allammaq
Cobalt,inferred,tonnage,1591000.0,%,0.03,,,,Allammaq
Platinum,inferred,tonnage,1591000.0,g/t,0.38,,,,Allammaq
Palladium,inferred,tonnage,1591000.0,g/t,1.56,,,,Allammaq
Gold,inferred,tonnage,1591000.0,g/t,0.07,,,,Allammaq
Nickel,indicated,tonnage,2218000.0,%,1.89,,,,Mesamax
Copper,indicated,tonnage,2218000.0,%,2.57,,,,Mesamax
Cobalt,indicated,tonnage,2218000.0,%,0.08,,,,Mesamax
Platinum,indicated,tonnage,2218000.0,g/t,0.60,,,,Mesamax
Palladium,indicated,tonnage,2218000.0,g/t,2.08,,,,Mesamax
Gold,indicated,tonnage,2218000.0,g/t,0.20,,,,Mesamax
Nickel,inferred,tonnage,31000.0,%,1.61,,,,Mesamax
Copper,inferred,tonnage,31000.0,%,1.78,,,,Mesamax
Cobalt,inferred,tonnage,31000.0,%,0.07,,,,Mesamax
Platinum,inferred,tonnage,31000.0,g/t,0.51,,,,Mesamax
Palladium,inferred,tonnage,31000.0,g/t,1.93,,,,Mesamax
Gold,inferred,tonnage,31000.0,g/t,0.18,,,,Mesamax
Nickel,indicated,tonnage,5374000.0,%,0.74,,,,Mequillon
Copper,indicated,tonnage,5374000.0,%,1.07,,,,Mequillon
Cobalt,indicated,tonnage,5374000.0,%,0.03,,,,Mequillon
Platinum,indicated,tonnage,5374000.0,g/t,0.50,,,,Mequillon
Palladium,indicated,tonnage,5374000.0,g/t,2.57,,,,Mequillon
Gold,indicated,tonnage,5374000.0,g/t,0.11,,,,Mequillon
Nickel,inferred,tonnage,3085000.0,%,0.82,,,,Mequillon
Copper,inferred,tonnage,3085000.0,%,1.12,,,,Mequillon
Cobalt,inferred,tonnage,3085000.0,%,0.03,,,,Mequillon
Platinum,inferred,tonnage,3085000.0,g/t,0.64,,,,Mequillon
Palladium,inferred,tonnage,3085000.0,g/t,2.47,,,,Mequillon
Gold,inferred,tonnage,3085000.0,g/t,0.12,,,,Mequillon
Nickel,indicated,tonnage,8562000.0,%,0.76,,,,Expo
Copper,indicated,tonnage,8562000.0,%,0.76,,,,Expo
Cobalt,indicated,tonnage,8562000.0,%,0.03,,,,Expo
Platinum,indicated,tonnage,8562000.0,g/t,0.32,,,,Expo
Palladium,indicated,tonnage,8562000.0,g/t,1.36,,,,Expo
Gold,indicated,tonnage,8562000.0,g/t,0.08,,,,Expo
Nickel,inferred,tonnage,478000.0,%,0.81,,,,Expo
Copper,inferred,tonnage,478000.0,%,0.83,,,,Expo
Cobalt,inferred,tonnage,478000.0,%,0.04,,,,Expo
Platinum,inferred,tonnage,478000.0,g/t,0.32,,,,Expo
Palladium,inferred,tonnage,478000.0,g/t,1.43,,,,Expo
Gold,inferred,tonnage,478000.0,g/t,0.08,,,,Expo
Nickel,indicated,tonnage,1128000.0,%,1.22,,,,Ivakkak
Copper,indicated,tonnage,1128000.0,%,1.55,,,,Ivakkak
Cobalt,indicated,tonnage,1128000.0,%,0.05,,,,Ivakkak
Platinum,indicated,tonnage,1128000.0,g/t,0.35,,,,Ivakkak
Palladium,indicated,tonnage,1128000.0,g/t,1.69,,,,Ivakkak
Gold,indicated,tonnage,1128000.0,g/t,0.11,,,,Ivakkak
Nickel,inferred,tonnage,40000.0,%,1.24,,,,Ivakkak
Copper,inferred,tonnage,40000.0,%,1.30,,,,Ivakkak
Cobalt,inferred,tonnage,40000.0,%,0.04,,,,Ivakkak
Platinum,inferred,tonnage,40000.0,g/t,0.37,,,,Ivakkak
Palladium,inferred,tonnage,40000.0,g/t,1.74,,,,Ivakkak
Gold,inferred,tonnage,40000.0,g/t,0.11,,,,Ivakkak
Nickel,indicated,tonnage,90000.0,%,1.60,,,,TK
Copper,indicated,tonnage,90000.0,%,1.20,,,,TK
Cobalt,indicated,tonnage,90000.0,%,0.10,,,,TK
Platinum,indicated,tonnage,90000.0,g/t,0.40,,,,TK
Palladium,indicated,tonnage,90000.0,g/t,1.60,,,,TK
Gold,indicated,tonnage,90000.0,g/t,0.10,,,,TK
Nickel,inferred,tonnage,7000.0,%,1.60,,,,TK
Copper,inferred,tonnage,7000.0,%,1.00,,,,TK
Cobalt,inferred,tonnage,7000.0,%,0.10,,,,TK
Platinum,inferred,tonnage,7000.0,g/t,0.40,,,,TK
Palladium,inferred,tonnage,7000.0,g/t,1.60,,,,TK
Gold,inferred,tonnage,7000.0,g/t,0.00,,,,TK
Nickel,indicated,tonnage,684852.0,%,3.43,NSR canadian dollar per tonne,40,,Massive Sulphide Domain
Copper,indicated,tonnage,684852.0,%,4.1,NSR canadian dollar per tonne,40,,Massive Sulphide Domain
