commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
lithium,measured,million tonnes,12.998,percent,1.6,percent,0.43,,Estimated
lithium,indicated,million tonnes,14.993,percent,1.54,percent,0.43,,Estimated
lithium,inferred,million tonnes,4.686,percent,1.51,percent,0.43,,Estimated
lithium,proven,million tonnes,11.7,percent,1.58,,,,Whabouchi Open Pit
lithium,probable,million tonnes,8.3,percent,1.46,,,,Whabouchi Open Pit
lithium,proven,million tonnes,13.3,percent,1.54,,,,Combined Whabouchi
lithium,probable,million tonnes,14,percent,1.39,,,,Combined Whabouchi
